PublishedAt,Title,description
2017-05-20T05:40:00Z,Iran’s President Hassan Rouhani Wins Re-Election Comfortably,"Iranian voters gave President Hassan Rouhani a second four-year term, rejecting his hard-line challenger and endorsing a leader who seeks better ties to the West. State television congratulated him on the victory."
2017-05-20T01:02:00Z,Fired FBI Director James Comey to Testify in Public,"Former FBI Director James Comey has agreed to testify publicly in Congress, capping a week that may shape President Donald Trump’s administration for months, or even years, and prompting White House aides to rethink how they operate in this new political and legal environment."
2017-05-19T17:46:00Z,Political Crisis Grips Brazil as Firm Admits to Bribing Nation’s Leaders,"Less than a year after Brazil’s president was impeached, her successor is at the center of explosive bribery allegations in the ever-widening corruption probe that has engulfed the country’s leadership class."
2017-05-19T16:21:00Z,Federalism for the Left and the Right,"People across the political spectrum are turning to states and localities to deal with contentious issues such as immigration, law enforcement and education."
2017-05-20T07:06:00Z,Trump Begins First Foreign Trip as President in Saudi Arabia,"President Donald Trump arrived in Saudi Arabia, his first stop outside the U.S. since taking office and the start of an ambitious nine-day trip through the Middle East and Europe."
2017-05-20T09:00:00Z,"SoftBank, Saudis to Launch $100 Billion Tech Fund","Japan’s SoftBank and Saudi Arabia’s sovereign-wealth fund will launch the world’s largest technology fund, designed to steer capital to cutting-edge technologies in U.S. startups and other global firms."
2017-05-19T14:28:00Z,Carl Icahn’s Charity Supports Education—It Also Lent Him $119 Million,"Hundreds of charities lend small sums to their officials, mostly less than $28,000. Few compare to the loans Mr. Icahn’s charity granted its benefactor, which tied up funds for years and earned lower returns than other potential investment opportunities."
2017-05-20T10:01:00Z,Philippines’ Duterte Says Chinese Leader Raised Threat of War Over South China Sea,The Philippines President said his Chinese counterpart had threatened him that Beijing would “go to war” if Manila begins drilling for oil in the South China Sea.
2017-05-19T16:01:00Z,"Europe Inc.’s Profit Growth Beats U.S. as Consumers, Companies Open Wallets","Europe’s largest companies are on track to record their strongest quarter of profit growth in almost seven years, benefiting from something the continent hasn’t seen since before the global economic crisis: a willingness among consumers—and other companies—to spend again."
2017-05-20T11:00:00Z,"Got Milk? Too Much of It, Say U.S. Dairy Farmers","U.S. dairy farmers made a big bet on strengthening global demand for their milk, but it hasn’t panned out due to economic troubles in some emerging economies and a world-wide boom in agricultural output."
2017-05-20T11:30:52Z,Donald Trump lands in Saudi Arabia as controversies swirl at home,"President Donald Trump arrives on Air Force One on his first stop abroad since taking office, a visit meant to bolster partnerships abroad that aides hope can reset a scandal-pocked narrative back home."
2017-05-20T05:59:30Z,Will Trump hit reset with Muslims?,"A month after Donald Trump called for a ""total and complete shutdown"" of Muslims entering the US, a hijab-wearing American named Rose Hamid stood up in the grandstands a few rows behind the presidential candidate."
2017-05-19T22:28:33Z,Kushner called Lockheed CEO about Saudi weapons,"President Donald Trump's son-in-law and utility diplomat, Jared Kushner, shocked a high-level Saudi delegation earlier this month when he personally called Lockheed Martin CEO Marillyn Hewson and asked if she would cut the price of a sophisticated missile detection system, according to a source with knowledge of the call."
,Late-night TV jabs Trump's first trip abroad - CNN Video,Late-night television hosts Stephen Colbert and Jimmy Fallon mocked President Donald Trump's first trip abroad amid domestic tensions.
2017-05-19T09:07:13Z,Trump will fit in well with the Middle East strongmen,"For a president who likes to be liked, Donald Trump's Saudi Arabia visit is going blow smoke in all the right places."
2017-05-20T03:54:22Z,Travel ban architect writing Trump's speech on Islam,"The author of President Donald Trump's controversial travel ban, which targeted people from six-majority Muslim countries, is the principal speechwriter for the President's speech on Islam in Saudi Arabia on Sunday."
2017-05-19T21:37:51Z,Trump trip shows US hypocrisy on human rights,"President Trump's trip to the Middle East punctures a long-held myth, says Jonathan Tasini -- that US foreign policy lives up to its own hype on human rights."
2017-05-20T01:03:03Z,Sources: Russian officials bragged they could use Flynn to influence Trump,"Russian officials bragged in conversations during the presidential campaign that they had cultivated a strong relationship with former Trump adviser retired Gen. Michael Flynn and believed they could use him to influence Donald Trump and his team, sources told CNN."
2017-05-20T02:55:52Z,"First on CNN: Comey now believes Trump was trying to influence him, source says","Former FBI Director James Comey now believes that President Donald Trump was trying to influence his judgment about the Russia probe, a person familiar with his thinking says, but whether that influence amounts to obstruction of justice remains an open question."
2017-05-20T03:04:50Z,NYT: Trump brags to Russians about firing 'nut job' Comey,"President Donald Trump bragged to two top Russian officials last week that firing ""nut job"" FBI Director James Comey eased ""great pressure"" on him, The New York Times reported Friday."
2017-05-20T08:41:11Z,Trump Told Russians That Firing ‘Nut Job’ Comey Eased Pressure From Investigation,The conversation reinforces the notion that President Trump dismissed him primarily because of the bureau’s investigation into possible collusion between his campaign and Russian operatives.
2017-05-20T01:18:10Z,"Comey, Unsettled by Trump, Is Said to Have Wanted Him Kept at a Distance",The former F.B.I. director described being dismayed by the president’s attempts to build a personal relationship with him amid the Russia investigation.
2017-05-19T18:10:36Z,"Mississippi Boy, 6, Is Killed After Car Is Stolen From His Mother","The mother had gone into a store and had left the car running with the boy in the back seat, according to local reports."
2017-05-19T17:03:37Z,"Chris Cornell, Soundgarden and Audioslave Frontman, Dies at 52","The musician’s death in Detroit was “sudden and unexpected,” his representative said in a statement. The medical examiner’s office said the cause of death was suicide."
2017-05-19T16:54:13Z,A Basquiat Sells for ‘Mind-Blowing’ $110.5 Million at Auction,"Basquiat’s vibrant painting of a face in the shape of a skull set an auction record for a work by any American artist, beating Andy Warhol."
2017-05-20T04:36:33Z,Anthony Weiner Pleads Guilty to Federal Obscenity Charge,"The ex-congressman, whose wife, Huma Abedin, was a top aide to Hillary Clinton, admitted to sending sexually explicit images to a girl he knew was 15."
2017-05-20T06:10:22Z,$110 Billion Weapons Sale to Saudis Has Jared Kushner’s Personal Touch,"Mr. Kushner called the head of Lockheed Martin while he met with Saudi officials, showing President Trump’s eagerness for a major deal before his first foreign trip."
2017-05-19T05:06:34Z,Democratic Leaders Try to Slow Calls to Impeach Trump,"Elected Democratic officials are counseling sobriety as they press ahead with investigations of President Trump, but activists want more: impeachment now."
2017-05-20T04:47:53Z,"Before Driver’s Times Square Crash, a Descent Into Paranoia and Harassment",A former Navy recruit who plowed into a crowd on Thursday is said to have fallen into a cloud of paranoia during a string of arrests for threats and drunken driving.
2017-05-20T04:55:09Z,F.B.I. Once Warned G.O.P. Congressman That Russian Spies Were Recruiting Him,"The 2012 warning to Dana Rohrabacher, an ally of President Trump, shows that the F.B.I. has for years viewed Russian spies as having a hand in Washington."
